start_time,end_time,wav_file,emotion,val,act,dom,text
33.43,37.31,Ses01M_script03_2_M005,xxx,2,3.5,4,It was bristling with diamonds in the worst possible taste.
40.6323,46.45,Ses01M_script03_2_M006,xxx,2,3.5,4.5,You sent out of your way to torture me over Peter Burden.
48.84,54.13,Ses01M_script03_2_M007,xxx,2,3.5,4,"Well, you let him kiss you.  You said you did."
55.5157,57.7839,Ses01M_script03_2_M008,xxx,2,3.5,2.5,What of it?
62.8602,65.9708,Ses01M_script03_2_M009,xxx,2,3,3.5,And what about me?
70.2675,73.5745,Ses01M_script03_2_M010,xxx,2,2,3,That's a nice point of view I must say.
77.22,84.2457,Ses01M_script03_2_M011,xxx,3,3,3.5,So am I.  I'm bored stiff.  You want some brandy?
85.71,89.075,Ses01M_script03_2_M012,neu,3,3,3.5,"I'll have a little, I think."
91.68,97.8825,Ses01M_script03_2_M013,neu,3,3,3.5,"Oh, you know no particular reason besides they are very small glasses."
103.3845,111.61,Ses01M_script03_2_M014,xxx,2,3.5,4,You can hardly call three glasses of liquor in a whole evening going on and on and on.
117.12,123.76,Ses01M_script03_2_M015,xxx,2.5,3.5,4.5,"Hmm.  Well, you needn't be so grand just because you don't happen to want any at the moment, okay?"
125.46,127.4,Ses01M_script03_2_M016,fru,2.5,3,4,"Really, Amanda."
129.9327,133.3025,Ses01M_script03_2_M017,fru,2,3.5,2.5,Nothing.
135.3979,138.18,Ses01M_script03_2_M018,neu,3,3.5,3,Are you going out somewhere dear?
141.83,145.7234,Ses01M_script03_2_M019,xxx,2.5,2,3,That reply has broken my heart.
152.42,157.47,Ses01M_script03_2_M020,xxx,2.5,2.5,3,As matter the fact that's perfectly true.
158.7275,161.0388,Ses01M_script03_2_M021,xxx,3,3,3,"Yes, it is."
165.1863,171.71,Ses01M_script03_2_M022,ang,2,3.5,4.5,"You know, it's a pity you didn't have any more brandy. It would have made you just a little less disagreeable."
179.22,184.3684,Ses01M_script03_2_M023,ang,2,4.5,4.5,"You know what?  You snap, you snap, you snap you're like a little adder."
186.5,192.15,Ses01M_script03_2_M024,ang,2,4,4.5,Nonsense.  They have a bag of venom behind of fangs and they snap.
200.0078,203.75,Ses01M_script03_2_M025,ang,2,3,4.5,Did you see much of Peter Burden after our divorce?
205.08,209,Ses01M_script03_2_M026,ang,2,4,4.5,I suppose you let him just kiss you or good deal more than too.
209.17,215.83,Ses01M_script03_2_M027,ang,1.5,3.5,5,"I suppose you two had a riotous time, huh?  No restrain at all, very enjoyable, he never had much any how."
218.25,221.07,Ses01M_script03_2_M028,ang,1,4,4.5,I am not in the least bit drunk.
222.01,231.2375,Ses01M_script03_2_M029,ang,1,4.5,5,I think I told you once before that I had three minute liquor glasses the whole evening long.  A Child of two cannot get drunk on that.
236.11,248.5725,Ses01M_script03_2_M030,ang,2,3.5,4.5,"Oh very, very interesting Amanda.  How about the child of uh... four, six or maybe nine---you know, we could work up a splendid little debate about it, you know?  Intemperate tots."
250.63,253.98,Ses01M_script03_2_M031,ang,2,4.5,4.5,That's a very good idea I think I will.
255.0051,260.83,Ses01M_script03_2_M032,ang,2.5,3,3.5,Would you uh...turn that off please? You're going to wake the people upstairs.
264.13,266.6825,Ses01M_script03_2_M033,ang,2,3.5,4.5,Well then you'll wake the people downstairs.
268.76,271.9275,Ses01M_script03_2_M034,ang,2,2.5,3,This is no time a year for Tunis.
274.83,277.8275,Ses01M_script03_2_M035,ang,3,3.5,3,I will do no such thing.
282.59,286.43,Ses01M_script03_2_M036,ang,2,3,3.5,Turn it off. It's driving me mad.
287.64,291.195,Ses01M_script03_2_M037,ang,2,3,4.5,Turn it off.
292.49,294.575,Ses01M_script03_2_M038,ang,1.5,4,4.5,Amanda listen. Listen.
297.92,300.08,Ses01M_script03_2_M039,ang,3,3.5,3.5,That's very amusing indeed.
304.27,311.85,Ses01M_script03_2_M040,ang,1,4.5,4.5,"You...You're an evil minded, self-centered little wench and I never want to see you again."
316.79,319.08,Ses01M_script03_2_M041,ang,2,2.5,4,You're not going like this.
319.13,320.85,Ses01M_script03_2_M042,ang,2,2.5,3.5,No you're not.
321.52,335.77,Ses01M_script03_2_M043,ang,1,5,5,Shut up. Shut up. I wouldn't marry you again if you came crawling back to me on a bended knee. You are an evil tempered little vampire and I never want to see you again as long as I live.
5.3661,9.615,Ses02F_impro01_F000,neu,4,3,2,"Hi. Excuse me.  Um, I'd like to put in this application for my registration."
16.484,19.7791,Ses02F_impro01_F001,sur,2,2.5,2.5,My--my original birth certificate?  But I don't carry that with me.
23.369,26.0214,Ses02F_impro01_F002,xxx,3,2.5,2,"Well, I have my driver's license, does that work?"
30.713,32.8369,Ses02F_impro01_F003,fru,2,3.5,2.5,No it doesn't say it on the form.
32.8981,37.88,Ses02F_impro01_F004,fru,2,3.5,2,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification."
38.0286,40.3056,Ses02F_impro01_F005,fru,2,3.5,3,I mean if I had known--I would have brought it.
45.0441,50.0436,Ses02F_impro01_F006,fru,2,3,2.5,"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is."
50.0639,51.9832,Ses02F_impro01_F007,fru,2,3,2,It's lunch hour.
57.5135,66.671,Ses02F_impro01_F008,fru,2,4,1.5,"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again."
66.6912,72.0669,Ses02F_impro01_F009,fru,1.5,3,2.5,I have my passport and I have my driver's license. And that's all I have.
78.1061,87.7428,Ses02F_impro01_F010,fru,2,3.5,2,"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me."
88.3022,89.9978,Ses02F_impro01_F011,fru,2,4,3,And I can give you my social--
96.4709,99.7098,Ses02F_impro01_F012,fru,2,3.5,2.5,"Well, I can give you my Social Security Number."
99.8449,105.6836,Ses02F_impro01_F013,fru,1.5,3.5,2.5,And I can tell you where I was born and what time and by who and what day.
111.5773,119.8805,Ses02F_impro01_F014,fru,1.5,4,2,I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.
124.1293,132.0469,Ses02F_impro01_F015,fru,1.5,4.5,2,"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me."
135.5643,145.6458,Ses02F_impro01_F016,fru,1.5,4,3,Well.   I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-
145.7064,150.8614,Ses02F_impro01_F017,fru,1.5,3.5,2.5,"I really need this done today.  As you can see, the deadline is almost up and I can't come back."
154.0504,159.7574,Ses02F_impro01_F018,ang,1.5,4.5,3.5,"Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?"
164.674,169.8898,Ses02F_impro01_F019,ang,1.5,5,3.5,"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that."
171.5438,175.7488,Ses02F_impro01_F020,ang,1.5,3,3.5,With your driver's license and your passport.  Just like everybody else.
180.6986,190.9121,Ses02F_impro01_F021,ang,1.5,3.5,2.5,"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway."
202.8414,205.0638,Ses02F_impro01_F022,fru,1.5,3,2.5,Do you have a supervisor?
209.2752,214.5392,Ses02F_impro01_F023,fru,2,3.5,3,"Well, thank you very much.  You've been very helpful."
5.8186,7.253,Ses02F_impro01_M000,neu,2.5,2,2,Hi.
9.8327,15.9334,Ses02F_impro01_M001,neu,3,2.5,2.5,"Okay.  Let me see here.  Um, we need--we need your original birth certificate."
20.5395,23.2318,Ses02F_impro01_M002,neu,2.5,2,2.5,Right.  Well.  We still need it.
25.7699,32.1839,Ses02F_impro01_M003,xxx,2.5,2,2,"No. no  Uh, no one told you that you needed your original birth certificate."
38.1175,39.5783,Ses02F_impro01_M004,neu,2.5,2.5,2,um Sorry.
40.4471,45.0994,Ses02F_impro01_M005,fru,2.5,2.5,2.5,"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh..."
50.0639,51.963,Ses02F_impro01_M006,fru,3.5,2.5,2.5,Right.  It's the D.M.V..
51.9832,57.8604,Ses02F_impro01_M007,fru,3,2.5,2.5,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?"
70.1056,72.0855,Ses02F_impro01_M008,fru,2.5,3,2.5,"Alright, I don't know what to tell you right."
72.2875,79.2332,Ses02F_impro01_M009,fru,2.5,2.5,2.5,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-"
87.4602,88.6522,Ses02F_impro01_M010,fru,2.5,3.5,2.5,I can't.
88.6926,97.7625,Ses02F_impro01_M011,fru,2.5,3.5,3,"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-"
100.014,101.5823,Ses02F_impro01_M012,fru,2.5,3,2,"No, it's--"
105.0169,111.4287,Ses02F_impro01_M013,fru,2.5,3,3,"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--"
119.606,125.5354,Ses02F_impro01_M014,fru,2.5,3,2.5,"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--"
132.1517,135.6478,Ses02F_impro01_M015,fru,2.5,4,3.5,I can't.  There's nothing I can do.  I'm sorry.
141.989,143.5245,Ses02F_impro01_M016,xxx,2.5,2.5,2,The line--
150.5061,155.603,Ses02F_impro01_M017,ang,2.5,3.5,3.5,"Ok, but you're right now you're holding up more people in line by standing here-- and letting"
158.9194,164.5611,Ses02F_impro01_M018,fru,2.5,3.5,3.5,"I--when you're going to the D.M.V., you usually need pretty professional identification--"
164.5945,166.9199,Ses02F_impro01_M019,ang,2.5,3.5,3,"You know, Official documentation--"
167.9301,173.4579,Ses02F_impro01_M020,fru,2.5,3.5,3.5,"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--"
175.6255,182.0081,Ses02F_impro01_M021,fru,2.5,4,3.5,"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?"
190.982,195.9117,Ses02F_impro01_M022,fru,2.5,3.5,3,"All right.  Well, um, you know, I'd love to help you, but--nothing I can do."
195.9319,204.2806,Ses02F_impro01_M023,fru,3,3,2.5,"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know."
204.7828,208.4711,Ses02F_impro01_M024,fru,2.5,2,2.5,I am the supervisor.  So--
8.9084,11.9078,Ses02F_impro02_F000,sad,3,2.5,2.5,It's almost time for me to go.
18.3682,24.3889,Ses02F_impro02_F001,sad,2,2.5,2.5,"There's nothing I can do.  I mean, the government you know--"
30.6582,37.9405,Ses02F_impro02_F002,sad,2,2.5,3,"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can."
46.8146,49.4112,Ses02F_impro02_F003,sad,2,3,2.5,I don't think so.
63.2468,75.4222,Ses02F_impro02_F004,sad,2,2.5,2.5,"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile."
75.4413,78.5568,Ses02F_impro02_F005,sad,2.5,2,2,You could send me pictures.
88.0123,94.8416,Ses02F_impro02_F006,sad,2.5,2.5,3,"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--"
96.6544,108.6034,Ses02F_impro02_F007,sad,2,2.5,3,"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay."
114.93,126.1305,Ses02F_impro02_F008,sad,2,2,3.5,"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--"
139.4718,143.5239,Ses02F_impro02_F009,sad,2.5,2,2,You can just remember it for me.
148.5507,156.3682,Ses02F_impro02_F010,sad,2,3,3,"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it."
158.5369,166.766,Ses02F_impro02_F011,sad,1.5,2,3,"I mean, it's just as hard for me, but--I know that we can do it, you know"
184.8857,191.174,Ses02F_impro02_F012,sad,2.5,1.5,2,I don't want you in danger.  And I don't want her in danger.
193.9264,207.04,Ses02F_impro02_F013,sad,2,2.5,3.5,I have no choice. There's nothing I can do.
11.5255,18.7886,Ses02F_impro02_M000,xxx,2.5,2.5,2.5,I can't believe that--now--are you sure this is absolutely necessary?  Like--
24.1978,31.0213,Ses02F_impro02_M001,fru,2,3,3,What--what're we gonna do here?  I can't--I can't do this by myself.  I--
37.8258,47.7648,Ses02F_impro02_M002,fru,2.5,2,3,"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow."
49.5424,63.7247,Ses02F_impro02_M003,fru,2,2.5,3,"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--"
75.6898,78.5377,Ses02F_impro02_M004,xxx,2,2,2,It's not going to be the same.
79.4743,88.2594,Ses02F_impro02_M005,fru,3,2.5,3,"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--"
108.3358,114.6815,Ses02F_impro02_M006,fru,2.5,2.5,3,This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.
126.3408,139.8386,Ses02F_impro02_M007,sad,2.5,2,2.5,But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--
144.2502,150.5386,Ses02F_impro02_M008,fru,2,3,2.5,I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--
167.216,177.6416,Ses02F_impro02_M009,fru,2.5,2.5,2.5,"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--"
177.9283,185.5164,Ses02F_impro02_M010,fru,2.5,3,3.5,...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.
190.0061,194.4042,Ses02F_impro02_M011,xxx,3,3,2.5,I don't want you in danger.  Where are you going?  You're going over to war.
208.8905,210.8151,Ses02F_impro02_M012,sad,3,2,1.5,All right.
4.7324,8.78,Ses02F_impro03_F000,exc,5,4.75,3.25,"Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?"
8.81,10.93,Ses02F_impro03_F001,exc,5,4.75,3.25,"Well, guess.  Guess, guess, guess, guess."
14.08,16.13,Ses02F_impro03_F002,xxx,4.5,3.5,2.5,Don't look at my left hand.
22.66,28.0319,Ses02F_impro03_F003,xxx,5,4.5,2.75,"He proposed.  He proposed.  Well, and I said yes, of course. [LAUGHTER]"
30.65,32.65,Ses02F_impro03_F004,exc,5,4.5,2.75,I'm so excited.
34.5699,38.8951,Ses02F_impro03_F005,xxx,4.5,3.5,2.75,"Remember how we had that date?  And I was like, oh yeah, this is a date, whatever."
39.0078,52.92,Ses02F_impro03_F006,xxx,4.75,3.75,2.75,"So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird."
52.93,61.8184,Ses02F_impro03_F007,xxx,4.75,3.75,2.75,"So, he--so we walked down to the pier and there's like these lights--like these little, like lights-- and we're like what's that? And he's like I don't know let's go find out."
61.83,69.86,Ses02F_impro03_F008,xxx,4.75,4,2.75,So we walked down there and there's-[LAUGHTER]-And there's- this huge like ten foot heart in candles on the beach--
69.91,81.9971,Ses02F_impro03_F009,exc,5,4.25,2.75,"like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out."
83.93,91.61,Ses02F_impro03_F010,xxx,4.5,3.75,2.75,"I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea."
95.45,99.6572,Ses02F_impro03_F011,exc,4.75,3.75,3,'Cause- 'Cause he was with me. You didn't do it did you?
101.5291,102.95,Ses02F_impro03_F012,exc,4.5,3.75,3,You didn't know anything?
105.135,111.47,Ses02F_impro03_F013,exc,4.5,4,2.75,"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--"
112.7,117.27,Ses02F_impro03_F014,exc,5,4.25,2.75,"It is good.  It's totally good.  I mean, it like oh, you know."
121.0516,127.2609,Ses02F_impro03_F015,hap,4.5,3.25,2.75,I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out
127.3236,133.2123,Ses02F_impro03_F016,hap,4.25,3,2.75,"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--"
133.6443,140.07,Ses02F_impro03_F017,hap,4.25,3,2.75,"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--"
141.21,148.237,Ses02F_impro03_F018,hap,4.25,3,2.75,"So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--"
149.08,156.2108,Ses02F_impro03_F019,hap,4.25,3,2.5,"I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,"
156.23,164.7969,Ses02F_impro03_F020,xxx,4.25,3,2.75,"But It's sort of hard 'cause the weather is so unpredictable and then if it's like cold that day.  Or if it's too hot, you know, it's like--but um--"
165.4402,176.5255,Ses02F_impro03_F021,exc,4.5,3,2.5,"Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy"
178.79,180.87,Ses02F_impro03_F022,xxx,4.5,3,2.25,Two and a half years. [LAUGHTER]
187.29,190.02,Ses02F_impro03_F023,hap,4.75,3.25,2.25,Thank you. Thank you so much.
195.46,201.9,Ses02F_impro03_F024,exc,4.75,4,3.5,"Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great."
205.46,207.6783,Ses02F_impro03_F025,xxx,4.25,3.25,2.25,You approve?  You approve?
220.38,222.24,Ses02F_impro03_F026,hap,4.5,2.75,2.5,"Yeah, it's pretty good."
225.0487,228.4874,Ses02F_impro03_F027,hap,4.5,3.25,2.75,"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors."
231.8858,240.3492,Ses02F_impro03_F028,exc,4.75,3.5,2.5,"It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure."
240.4223,244.0151,Ses02F_impro03_F029,hap,4.5,3.75,3,She'll be like--flowers and the--
246.65,250.5635,Ses02F_impro03_F030,hap,4.5,3.5,2.25,"Oh, thank you. [LAUGHTER]"
6.2177,8.7208,Ses02F_impro03_M000,xxx,4.25,3.25,2,What?
10.86,14.2922,Ses02F_impro03_M001,neu,3.5,3,2.25,"Um, you--"
16.74,20.1143,Ses02F_impro03_M002,sur,4.25,3.75,3.25,No.  Let me see.
20.6584,23.29,Ses02F_impro03_M003,xxx,4.5,3.5,3,"Oh, no way."
25.72,31.42,Ses02F_impro03_M004,hap,4.5,3.5,2.5,That is great.  You look radiant.  I should've guess.
31.91,34.5281,Ses02F_impro03_M005,exc,4.25,3.5,3,"Well, Tell me about him.  What happened."
69.65,71.33,Ses02F_impro03_M006,sur,4.25,4,2.75,What?
81.7153,85.53,Ses02F_impro03_M007,sur,4.25,3.5,2.75,That--that is the most romantic thing I have ever heard.
90.55,97.0405,Ses02F_impro03_M008,xxx,4,3.25,2.5,"Wow.  Yeah, 'cause yeah I don't know I'm sure if he--oh yeah he definitely had--would have had to have someone else--"
97.27,102.0738,Ses02F_impro03_M009,hap,4,3.25,2.5,"Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it."
102.8845,106.06,Ses02F_impro03_M010,hap,4.5,3.75,3,No. I'm just as happy as you are.  This is--
110.84,114.19,Ses02F_impro03_M011,hap,4.25,3.75,2.75,"So, I mean--it's good though."
116.73,121.8195,Ses02F_impro03_M012,exc,4.5,4.5,2.75,"Yeah, I know.  Wow.  I'm shaking.  I can't even--"
130.9859,137.0738,Ses02F_impro03_M013,neu,4,3,2.5,"Oh. Do they--do they know yet? Have you told them? Oh, that's--"
139.87,141.31,Ses02F_impro03_M014,neu,4,2.5,2.25,That's great.  Yeah.
145.5923,149.6643,Ses02F_impro03_M015,neu,4,2.75,2.25,Okay. You know--you know where?  Or--
153.6844,156.4834,Ses02F_impro03_M016,neu,4,3,2.5,"Uh, huh. I mean, you know, it's spring--It'll be--"
164.59,166.04,Ses02F_impro03_M017,neu,3.75,2.75,2.5,Spring's nice though.
175.73,179.59,Ses02F_impro03_M018,neu,4,3.25,2.5,"Yeah, that is--how long you guys been together now?"
179.88,188.4736,Ses02F_impro03_M019,hap,4.25,3.5,3,Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER]
189.38,195.65,Ses02F_impro03_M020,hap,4,2.75,2.75,"Yeah, I'd love to be in that same situation some day, but, wow- so-"
201.04,207.0585,Ses02F_impro03_M021,xxx,4,3.25,3,You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--
207.5653,211.0588,Ses02F_impro03_M022,hap,4,3.25,3,"Oh, I approve. I-[LAUGHTER]-I more than approve."
211.0776,220.74,Ses02F_impro03_M023,hap,4.25,3.75,2.75,"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--"
221.52,225.77,Ses02F_impro03_M024,exc,4,4.25,3.25,"Well--can--I mean, let me know--I want- I want invitations and--"
228.14,233.2,Ses02F_impro03_M025,exc,4,3.5,2.75,"Oh, yes.  This is the whole "
244.0986,246.85,Ses02F_impro03_M026,hap,4,2.75,2.5,"It'll be good.  Wow, that's great."
9.6322,19.042,Ses02F_impro04_F000,fru,2,2.5,4,I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--
24.67,28.9797,Ses02F_impro04_F001,fru,2,2.5,4,"Yeah, but it--I mean it's the same response you get over and over again.  Like--"
29.0536,34.96,Ses02F_impro04_F002,fru,2,2,4,"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready."
39.17,46.3474,Ses02F_impro04_F003,fru,1.5,2.5,4.5,"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--"
48.7571,54.098,Ses02F_impro04_F004,fru,2,3,4.5,"I just--I can't do it anymore.  Like, it just takes it out of you--"
63.83,74.64,Ses02F_impro04_F005,fru,1.5,2,4,I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.
80.37,91.5702,Ses02F_impro04_F006,fru,2,4,4,"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--"
102.47,111.8,Ses02F_impro04_F007,fru,2,3.5,4,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand."
117.2799,129.1165,Ses02F_impro04_F008,fru,1.5,4,5,"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--"
132.9672,135.27,Ses02F_impro04_F009,sad,2,2,3.5,I feel so worthless.
150.38,156.5983,Ses02F_impro04_F010,fru,1.5,2.5,4,And what would make you say that?  There doesn't seem to be any indicators that anything's going to get better.
173.36,192.93,Ses02F_impro04_F011,fru,1.5,4,4.5,"It's just really hard.  I feel like their starting to get like a personal prejudice against me.  You know what I mean?  Like it's like suddenly it starts to feel like it's just you that they say no to and it's not that they're not taking applications and it's not that they're not hiring people, it's just you particularly they have some particular reason for just hating you.  You know?"
204.97,207.21,Ses02F_impro04_F012,fru,2,3.5,3.5,Or they'll never talk to me again.
212.279,229.8,Ses02F_impro04_F013,fru,1.5,3,4,"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--"
242.01,248.83,Ses02F_impro04_F014,fru,2,3,4,"I guess the money shouldn't matter to me, but--Somehow it does.  You know? It's not like I do it for the money, but"
248.86,256.9182,Ses02F_impro04_F015,fru,2,3.5,4.5,"you have to--I mean, if you're hired by somebody, then you're not a professional, you're an amateur and that means that you're not good enough."
266.3,274.17,Ses02F_impro04_F016,sad,1.5,2,3,"I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning."
276.09,286.51,Ses02F_impro04_F017,xxx,1,4,4.5,I don't know how to get out of it.  I don't know how to dig myself out of it.  It's the same hole that I've been digging and digging and digging.  I can't--
5.1392,9.5052,Ses02F_impro04_M000,neu,3,3.5,2.5,"So, uh, so how's it been going?  I mean, you have any needs or anything?"
19.1897,25.48,Ses02F_impro04_M001,neu,2.5,3.5,4,"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't"
34.85,39.72,Ses02F_impro04_M002,xxx,2.5,3,3.5,"Yeah--I know what you mean.  I've gone through like similar stuff, but--"
45.8486,49.25,Ses02F_impro04_M003,neu,2,3.5,3,"No, come on.  Don't "
52.9062,65.8663,Ses02F_impro04_M004,neu,2,4,4.5,"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--"
74.54,82.15,Ses02F_impro04_M005,neu,2.5,3.5,4,"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive."
89.4093,97.07,Ses02F_impro04_M006,neu,2.5,4,4,"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot..."
97.17,104,Ses02F_impro04_M007,neu,4,3.5,4,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know
111.55,116.4043,Ses02F_impro04_M008,neu,2,2.5,3.5,"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--"
129.3592,135.09,Ses02F_impro04_M009,neu,2,3,3.5,"But you gotta.  Otherwise, what is--what's your other option?"
135.85,145.057,Ses02F_impro04_M010,neu,2.5,3.5,4,"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and..."
145.067,151.05,Ses02F_impro04_M011,neu,3,3.5,4,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--
156.7354,174.3532,Ses02F_impro04_M012,neu,4,4,4.5,"Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-"
192.84,205.99,Ses02F_impro04_M013,neu,3.5,4,4,"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know"
207.1941,212.1841,Ses02F_impro04_M014,fru,3,3.5,2,"Or, well, no.  Okay. you -"
229.5,242.27,Ses02F_impro04_M015,neu,3.5,3.5,4,"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--"
244.79,245.9,Ses02F_impro04_M016,neu,3,2.5,2.5,Right.
245.97,248,Ses02F_impro04_M017,neu,3,2.5,3.5,"Well, you've gotta live."
257.1676,266.49,Ses02F_impro04_M018,neu,2,4,4,"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--"
271.69,277.0401,Ses02F_impro04_M019,neu,2,3,3,"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though."
287.19,288.55,Ses02F_impro04_M020,xxx,2.5,2,2.5,I don't know.
4.1392,7.7911,Ses02F_impro05_F000,neu,3.5,3,2.5,"Hi, um, excuse me, I believe that the airline lost my baggage."
11.43,18.72,Ses02F_impro05_F001,neu,3,3,2.5,"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?"
26.75,29.37,Ses02F_impro05_F002,sur,2,2.5,2.5,Some problems?  What is that supposed to mean?
