,start_time,end_time,wav_file,emotion,val,act,dom,text,label
1223,76.59,87.8575,Ses01M_impro07_F014,exc,4,3,3,"I don't know. I should ask. Yeah, I will.",5
1224,88.4125,92.41,Ses01M_impro07_F015,exc,4,2.5,2.5,You should...You should look into that.,5
1225,95.26,101.5,Ses01M_impro07_F016,exc,4,3,2.5,"That is amazing, congratulations. Good for you.",5
1227,111.59,116.34,Ses01M_impro07_F018,exc,3.5,3,2.5,But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,5
1229,121.15,125.25,Ses01M_impro07_F020,neu,3,2.5,2.5,"Yeah, that you probably. You should see one of these Victorian houses around by.",0
1230,125.31,132.5725,Ses01M_impro07_F021,exc,3.5,3,2.5,Where should I move?,5
1231,132.86,138.12,Ses01M_impro07_F022,exc,4,3.5,3.5,"That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",5
1232,139.07,141.8,Ses01M_impro07_F023,exc,4,3,2.5,Oh. Venice beach.,5
1233,141.99,144.485,Ses01M_impro07_F024,exc,3.5,3,2.5,"Oh, you don't like that. You're west-sider?",5
1234,144.66,148.265,Ses01M_impro07_F025,exc,4,3.5,2.5,"Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",5
1235,149.71,154.92,Ses01M_impro07_F026,exc,4,4,3.5,Professional softball player Malibu. [LAUGHTER],5
1236,156.18,167.8,Ses01M_impro07_F027,exc,4.5,4,3,From where? Huh? Well I'm from San Francisco.,5
1242,192.7,195.05,Ses01M_impro07_F033,hap,3,3,3,They have those neon--softballs.  They're like day-glow you can see them anywhere.,4
1243,195.17,205.4775,Ses01M_impro07_F034,hap,4,3.5,3.5,"Yeah, but no. Well, they have a night games but you know there's more like night games they're not like morning games, you know. I guess it's kind of same thing.",4
1244,2.6812,7.98,Ses01M_impro07_M000,exc,4,4,3,I'm surprised you don't know that.,5
1245,8.22,14.75,Ses01M_impro07_M001,exc,4,3,3,Oh. That is incredible. Is it--,5
1246,15.54,20.67,Ses01M_impro07_M002,exc,5,3.5,4,"do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",5
1247,20.92,34.38,Ses01M_impro07_M003,exc,4,4,3,No it's all boys. All boys' softball team.,5
1248,34.76,38.66,Ses01M_impro07_M004,exc,4.5,3.5,2.5,They do it's--believe me it's huge.,5
1249,38.78,48.28,Ses01M_impro07_M005,exc,4,4,3,Who do you play? Like do--are you like... nationally ranked?,5
1250,48.73,52.86,Ses01M_impro07_M006,hap,4,3,2,I just got into it. I just kind of fell into it. Literally I was walking around and...,4
1251,54.63,56.31,Ses01M_impro07_M007,exc,4,4,2.5,That is unbelievable.,5
1252,56.53,61.35,Ses01M_impro07_M008,exc,4,3,2.5,It's pretty wild.,5
1253,61.59,63.56,Ses01M_impro07_M009,exc,3,2.5,2.5,I would put that right up there with--ping-pong.,5
1254,66.3983,78.9,Ses01M_impro07_M010,exc,3.5,3,3,"Yeah, well I doubt  ping pong ",5
1255,80.6825,83.82,Ses01M_impro07_M011,hap,4,3,2.5,I mean not to denigrate what you are doing.  I think that's great.,4
1257,90.92,102.61,Ses01M_impro07_M013,hap,3.5,2.5,2.5,"No, no.  I love softball. I played softball all the time.",4
1261,131.95,134.62,Ses01M_impro07_M017,hap,4,3.5,2.5,For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,4
1262,135.305,141.01,Ses01M_impro07_M018,exc,3.5,3.5,3,But they got to like drive around in a bus--that would suck.,5
1263,141.34,142.68,Ses01M_impro07_M019,hap,3.5,2.5,2.5,Oh really? With the whole team?,4
1264,143.98,147.84,Ses01M_impro07_M020,neu,3.5,2.5,2.5,Yeah we have like away games and stuff.,0
1268,165.1825,169.6425,Ses01M_impro07_M024,exc,4,3,3,Oh really?,5
1270,172.46,175.3625,Ses01M_impro07_M026,neu,2.5,3,2.5,That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...,0
1274,192.22,194.25,Ses01M_impro07_M030,neu,3,2.5,1.5,Yeah.,0
1276,196.38,199.86,Ses01M_impro07_M032,hap,4,3,2.5,I'm going to have a mustache...On the force...,4
1277,204.81,206.6,Ses01M_impro07_M033,hap,3.5,2.5,1.5,Pull over..,4
1278,8.06,11.5914,Ses01M_script01_1_F000,fru,2,1.6667,1.6667,What he's going to say?,1
1282,39.7634,42.1267,Ses01M_script01_1_F004,sad,2,2,2,How could he see it?  I was the first one up and he was still in bed.,3
1283,47.3034,50.417,Ses01M_script01_1_F005,sad,2.3333,1.6667,2.3333,I was out here at four this morning I heard a crack and I looked out the window and he was standing right over there.,3
1284,56.6816,58.8948,Ses01M_script01_1_F006,sad,2,2.3333,1.6667,What was he doing here at four in the morning?,3
1285,59.13,62.7211,Ses01M_script01_1_F007,fru,2.3333,3,3.3333,I don't know.  But he went back in the kitchen and he cried.,1
1286,64.24,69.2483,Ses01M_script01_1_F008,ang,2.3333,2.3333,2.6667,Did you talk to him?,2
1289,91.9059,95.32,Ses01M_script01_1_F011,ang,2.3333,3.3333,3.3333,"Yeah, I could hear him crying through the floorboards in my room.",2
1292,122.46,128.7433,Ses01M_script01_1_F014,ang,1.6667,3.3333,4,I don't know.,2
1293,134.66,145.965,Ses01M_script01_1_F015,ang,2,3.3333,4.3333,"He's dreaming about him again, walking the streets.",2
1294,149.08,155.95,Ses01M_script01_1_F016,ang,1.6667,4.3333,4.3333,I guess he is.,2
1295,166.38,168.4175,Ses01M_script01_1_F017,ang,2,2.3333,2.6667,It's getting to be just like after he died.  What is the meaning of that?,2
1297,179.61,183.78,Ses01M_script01_1_F019,fru,2.3333,3,3,What?,1
1298,185.12,188.79,Ses01M_script01_1_F020,ang,1.6667,3.6667,4,"I mean, these kinds of things, man they always come back at you.  And this is definitely coming back to us.",2
1300,194.275,196.59,Ses01M_script01_1_F022,fru,2.3333,2.6667,3.3333,"I just--why shouldn't he walk the nights waiting for him, huh?  Do we contradict him do we say we don't have any hope any more that he's not coming back?",1
1301,204.2938,212.03,Ses01M_script01_1_F023,ang,1.6667,3.6667,4.3333,"What do you want to do, argue with him?",2
1302,213.1,226.15,Ses01M_script01_1_F024,ang,1.6667,4.3333,4.3333,"I don't want to argue with him, it's just for God's sake it's time he realized that no one believes with him any more.",2
1303,240.56,244.19,Ses01M_script01_1_F025,neu,3.3333,2.6667,3,You can't say that to him.,0
1304,247.1332,251.1095,Ses01M_script01_1_F026,neu,3,2.3333,3,I got to.,0
1305,253.54,258.8275,Ses01M_script01_1_F027,fru,2.3333,3.3333,3.6667,"What, can you prove it?  What proof do you have?  Can you prove it?",1
1306,268.7405,274.23,Ses01M_script01_1_F028,fru,2.6667,2.6667,2.6667,"For God's sake, three years?  Nobody comes back after three years. It's insane.",1
1307,278.1,281.21,Ses01M_script01_1_F029,ang,2.3333,2.6667,3.3333,"To you it is, to me it is.  But to your father?  You can talk yourself 'til you're blue in the face but there's was no grave and there is no body.  So where are you?",2
1308,281.59,289.53,Ses01M_script01_1_F030,ang,1.6667,4,4,"Okay, all right.  Mom, sit down.  I want to talk to you.",2
1309,299.18,308.35,Ses01M_script01_1_F031,sad,2,2.6667,3.3333,The trouble is those god damn news papers.  Every month some boy comes back missing longer then Larry so--,3
1310,308.48,315.05,Ses01M_script01_1_F032,ang,2,3,4,"Yeah, okay all right, all right.  Listen, um, you know why I asked Annie here, right?",2
1313,352.88,356.2574,Ses01M_script01_1_F035,ang,2.6667,3.6667,3.6667,"Well, I've got an idea but what's the story?",2
1314,359.08,364.855,Ses01M_script01_1_F036,ang,1.3333,4.3333,4.3333,I'm going to ask her to marry me.,2
1315,367.54,370.95,Ses01M_script01_1_F037,ang,2,3.3333,4.3333,"Well, that's only your business, Chris.",2
1317,391.9425,394.865,Ses01M_script01_1_F039,ang,1.6667,3,4,"Well, what do you want me to do?  You're old enough known your own business.",2
1318,397.1175,408.98,Ses01M_script01_1_F040,ang,1,4.3333,4.3333,So it's okay then?  I'm just going to go ahead with it?,2
1319,410.03,412.89,Ses01M_script01_1_F041,ang,1.6667,4.3333,4,You want to make sure that your father's not going to...,2
1320,415.08,418.941,Ses01M_script01_1_F042,ang,2,3.3333,2.6667,"See.  Then it's not just my business. Sometimes you infuriate me, you know that?  You know it's just your business too if I tell father and he throws a fit about it, huh?",2
1321,422.8798,426.0309,Ses01M_script01_1_F043,ang,3,2,2.3333,I'm just saying.,2
1322,11.4962,14.8175,Ses01M_script01_1_M000,neu,2.6667,2,2,I'm sorry.  I ignore what I've got to ignore. That girl is Larry's girl.,0
1324,23.65,29.785,Ses01M_script01_1_M002,neu,2.3333,2.3333,1.6667,"From father's point of view he is not dead and you have no right to take his girl.  I'm just saying that you can go on from there if you know where to go but I'm saying I don't know where to go.  See, I don't know.",0
1325,32.97,39.31,Ses01M_script01_1_M003,sad,2,2.3333,1.6667,I don't know why it is you know every time I reach out for something I have to pull back 'cause I'm afraid it's going to hurt somebody.  All my life...,3
1326,41.61,46.58,Ses01M_script01_1_M004,sad,2,2,2.3333,You're a considerate fellow.  There's nothing wrong in that.,3
1327,50.54,55.66,Ses01M_script01_1_M005,sad,2,2.6667,2.3333,To hell with that.,3
1328,62.8336,64.84,Ses01M_script01_1_M006,sad,2.3333,2.3333,1.6667,Did you ask Annie yet?,3
1329,69.4734,72.3994,Ses01M_script01_1_M007,sad,3,2.3333,2,"No, I wanted to get this all sorted out first.",3
1330,76.7,82.3525,Ses01M_script01_1_M008,fru,2.3333,3,3,"Well, how do you know she's going to marry you?  Maybe she feels same way your father does.",1
1332,95.9573,106.345,Ses01M_script01_1_M010,fru,2.6667,3.3333,3.6667,"The trouble is you don't see enough women, you never did.",1
1333,107.96,118.7275,Ses01M_script01_1_M011,fru,2.3333,2.6667,3.3333,So what?  I'm just--I'm not fast with women.,1
1334,120.31,122.62,Ses01M_script01_1_M012,fru,2,4,4,I don't see why it has to be Annie.,1
1335,128.2182,135.42,Ses01M_script01_1_M013,fru,2.6667,2,3,Because it is.,1
1336,145.36,151.18,Ses01M_script01_1_M014,fru,2.6667,2.6667,2,"That's a good answer but it doesn't answer anything.  You haven't seen her since you went away to war, it's been five years.",1
1337,154.65,165.33,Ses01M_script01_1_M015,fru,3,2.6667,2,"I don't know, it I think of her, I grew up next to her.  She is what I think of when I think of a wife.",1
1339,175.61,179.29,Ses01M_script01_1_M017,neu,3,3,3.3333,"Do you know what that'll do to you, to your father, do you know?  I don't.",0
1340,183.19,185.74,Ses01M_script01_1_M018,fru,2.6667,3,3.3333,All right then.,1
1341,187.8,190.56,Ses01M_script01_1_M019,fru,2.6667,3.6667,3.3333,Give it some more thought.,1
1342,192.24,204.6689,Ses01M_script01_1_M020,ang,1.6667,4,4.3333,I've given it lots of thought.  And I keep coming back to the same thing.,2
1343,210.78,213.83,Ses01M_script01_1_M021,ang,2.3333,3.3333,4.3333,"When I think of a family, when I think of my future I see Annie in the center of that and you know and if that can't happen here then I'll go somewhere else.",2
1344,234.24,241.22,Ses01M_script01_1_M022,fru,1.6667,3.6667,3.3333,What the hell is this?,1
1345,243.55,245.9,Ses01M_script01_1_M023,ang,1.3333,4.6667,4.3333,I'll leave.  I'll get married and move somewhere else maybe New York.,2
1346,250.7344,254.349,Ses01M_script01_1_M024,sad,2.6667,3,2.3333,Are you crazy?,3
1348,273.39,277.85,Ses01M_script01_1_M026,fru,2.3333,3,2,You have a business here.  I said what the hell is this?,1
1349,280.39,282.4625,Ses01M_script01_1_M027,fru,2.6667,3,3.6667,Business?  The business doesn't inspire me.,1
1350,288.42,295.59,Ses01M_script01_1_M028,fru,3,3.3333,3,"Oh, must you be inspired.",1
1352,322.82,329.97,Ses01M_script01_1_M030,fru,1.6667,3.3333,3,If that can't happen here...,1
1353,334.5001,346.89,Ses01M_script01_1_M031,fru,2.6667,3,3.3333,You mean to tell me you would leave the business for this.,1
1354,348.52,353.4525,Ses01M_script01_1_M032,fru,3,3.3333,4,"Yes, on this I would.",1
1356,364.25,368.55,Ses01M_script01_1_M034,ang,2.6667,2.6667,3,Then help me stay here mom.,2
1357,369.3,380.49,Ses01M_script01_1_M035,ang,2,4,4.6667,"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you.",2
1358,380.6425,383.3415,Ses01M_script01_1_M036,fru,2,3,3,"I know, I know.",1
1359,389.2,392.15,Ses01M_script01_1_M037,neu,2.3333,2.3333,2.6667,Then help me stay.,0
1360,394.4,397.08,Ses01M_script01_1_M038,sad,2,2.6667,2.6667,"Well, you don't think like that.",3
1362,408,410.1525,Ses01M_script01_1_M040,sad,2.6667,2.3333,3,"I don't understand you, do I?",3
1363,412.13,414.78,Ses01M_script01_1_M041,ang,2.6667,3,3.6667,"No, you don't.  I'm a pretty tough guy.",2
1364,418.6034,423.2925,Ses01M_script01_1_M042,sad,3,2,3.3333,"Well, I can see that.",3
1365,5.3913,8.235,Ses01M_script01_2_F000,ang,2.5,2.5,3,Why did he invite her here?,2
1366,12.74,17.28,Ses01M_script01_2_F001,ang,2.5,2,3,"Well, maybe he wanted see her.",2
1369,41.18,44.7,Ses01M_script01_2_F004,ang,1.5,4,4,Don't look at me like that.  He didn't tell me anything he told you.,2
1370,47.62,56.06,Ses01M_script01_2_F005,ang,1.5,4.5,5,He's not going to marry her.,2
1373,92.83,103,Ses01M_script01_2_F008,fru,1.5,3,4.5,Oh so what?,1
1374,104.705,118.32,Ses01M_script01_2_F009,ang,2,4.5,4.5,"What is going on here, Joe?",2
1376,124.98,135.2991,Ses01M_script01_2_F011,ang,1.5,4.5,5,The girl is not Larry's.  If the girl is Larry's girl she's not his she know she's not.,2
1377,136.61,145.6,Ses01M_script01_2_F012,ang,1.5,3.5,4.5,Listen. Line. You can't read her mind.,2
1378,145.64,150.29,Ses01M_script01_2_F013,ang,1,3.5,4.5,Then why is she still single?  New York is full of men probably a hundred people told her she is crazy but she is waited.,2
1380,8.4194,12.92,Ses01M_script01_2_M000,neu,3,4,2.5,Because she knows what I know that's why.  She's faithful as a rock. in my darkest moments I think of her waiting and I know that I'm right.,0
1381,18.19,25.36,Ses01M_script01_2_M001,neu,3,3.5,2.5,"Okay, look it's a beautiful day.  Why are we arguing?",0
1382,26.55,32.19,Ses01M_script01_2_M002,fru,2.5,3.5,3.5,"Nobody in this house dares take away her faith Joe.  Her- strangers might but not her father, not her brother.",1
1383,34.71,37.21,Ses01M_script01_2_M003,fru,2.5,3,3.5,What do you want me to do?  What do you want?,1
1384,39.17,41.69,Ses01M_script01_2_M004,fru,2,2.5,3,"I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense.",1
1385,44.67,48.37,Ses01M_script01_2_M005,fru,2.5,3,3.5,Kate...,1
1386,63.52,65.28,Ses01M_script01_2_M006,fru,2.5,3,3,Because if he's not coming back then I'll kill myself.,1
1388,87.53,93.44,Ses01M_script01_2_M008,fru,2.5,2.5,3.5,"Oh, laugh at me, laugh all you like but why does this happen to very night she comes back?  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe look.",1
1389,102.61,106.86,Ses01M_script01_2_M009,fru,2,3.5,3.5,"All right, calm yourself.",1
1390,119.21,121.2425,Ses01M_script01_2_M010,fru,2.5,2,2.5,"Believe with me Joe, you got to believe. Only last week a boy came back missing longer then Larry you read it yourself.",1
1391,124.2883,125.3375,Ses01M_script01_2_M011,fru,2,2.5,2.5,"Okay, calm yourself. Alright.",1
1392,134.69,137.07,Ses01M_script01_2_M012,fru,2,3,3,calm yourself.,1
1393,138.57,142.3975,Ses01M_script01_2_M013,fru,2,3,3,You above all have got to believe. Just don't stop believing.,1
1394,144.44,146.79,Ses01M_script01_2_M014,fru,2.5,3,2.5,What does that mean? Me above all? What does that mean?,1
1395,147.5375,152.12,Ses01M_script01_2_M015,ang,1.5,4,4,Look at you. You're shaking.,2
1396,152.66,157.89,Ses01M_script01_2_M016,ang,2,2.5,4,I can't help it.,2
1397,163.38,167.43,Ses01M_script01_2_M017,ang,1.5,3,4.5,"What the hell do you want from me, Kate?",2
1398,8.2904,11.9425,Ses01M_script01_3_F000,neu,4,2,2.5,The only one I know still love his parents.,0
1399,14.5812,20.04,Ses01M_script01_3_F001,neu,4,2,2.5,"Yeah, that kind of went out of style didn't it?",0
1401,30.15,38.2445,Ses01M_script01_3_F003,sad,4,1.5,2.5,"You know it's nice here, the air is sweet.",3
1402,40.81,44.5425,Ses01M_script01_3_F004,neu,3.5,2,2.5,You're not sorry you came?,0
1403,45.75,51.2332,Ses01M_script01_3_F005,sad,3.5,2,2,"Not sorry, no.  I can't stay here.",3
1404,53.77,59.22,Ses01M_script01_3_F006,sad,3,2,2,Why not?,3
1406,80.64,85.28,Ses01M_script01_3_F008,neu,3.5,2,2.5,Well.,0
1410,161.93,165.3,Ses01M_script01_3_F012,neu,3.5,2,2,"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",0
1412,173.63,175.63,Ses01M_script01_3_F014,exc,4.5,2,2.5,You did?,5
1413,177.13,185.63,Ses01M_script01_3_F015,exc,4.5,3.5,3.5,From her point of view why else would I come?,5
1414,200.94,207.645,Ses01M_script01_3_F016,hap,4.5,3,2.5,Yeah--,4
1416,225.02,227.3023,Ses01M_script01_3_F018,sad,2.5,1.5,1.5,Well I guess that's why I came.,3
1417,231.36,235.205,Ses01M_script01_3_F019,sad,3,3,2,"Ann, I love you.  I love you.",3
1419,253.41,256.4398,Ses01M_script01_3_F021,sad,2.5,1.5,2.5,I'm sorry I don't really have much of an imagination.,3
1420,265.5717,269.08,Ses01M_script01_3_F022,sad,2.5,1.5,2.5,"Chris,",3
1421,277.23,279.39,Ses01M_script01_3_F023,sad,2.5,2,1.5,"I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.",3
1422,285.51,288.34,Ses01M_script01_3_F024,sad,2.5,1.5,2,"I've been ready a long, long time.",3
1423,290.5787,293.79,Ses01M_script01_3_F025,sad,2,1.5,2,So then he's gone.  You sure?,3
1424,455.26,458.74,Ses01M_script01_3_F026,sad,2.5,2,2,I almost got married two years ago.,3
1428,510.69,513.8625,Ses01M_script01_3_F030,hap,4,2,2,Everyday since.,4
1429,11.86,15.1286,Ses01M_script01_3_M000,hap,4,2,1.5,why didn't you let me know?,4
1430,28.1,30.585,Ses01M_script01_3_M001,hap,3.5,3,1.5,"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",4
1431,38.46,41.3299,Ses01M_script01_3_M002,sad,2.5,3,1.5,"Oh Annie, why don't you go ahead and give me a kiss, come on just a...",3
1433,51.059,53.27,Ses01M_script01_3_M004,neu,3.5,2,1.5,I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,0
1435,79.41,81.1172,Ses01M_script01_3_M006,neu,4,3,2,"Like Larry's brother.  Do what like you, Chris.",0
1436,85.7,88.358,Ses01M_script01_3_M007,neu,3.5,2,1.5,"Chris, what's the matter?",0
1438,111.9467,120.1828,Ses01M_script01_3_M009,hap,3.5,3.5,2.5,"No, what is it?  Is your mother?",4
1443,165.6682,167.93,Ses01M_script01_3_M014,neu,3,2.5,2,I don't know.,0
1445,175.33,178.07,Ses01M_script01_3_M016,exc,4.5,3.5,2,Wouldn't work like this.,5
1447,197,201.86,Ses01M_script01_3_M018,exc,5,3.5,2.5,"Yeah, sure.",5
1448,207.18,210.04,Ses01M_script01_3_M019,hap,4.5,2,2.5,Well I lost them.,4
1449,228.28,232.23,Ses01M_script01_3_M020,sad,3,3.5,2,How many?,3
1450,234.59,238.48,Ses01M_script01_3_M021,sad,2,2.5,2,Pretty much all.,3
1451,244.14,252.92,Ses01M_script01_3_M022,sad,2,2,2,. Geez.,3
1452,256.1412,259.1271,Ses01M_script01_3_M023,sad,2,2.5,2.5,"Takes awhile to toss something like that off.  I mean they weren't just men, you know.",3
1453,259.351,263.97,Ses01M_script01_3_M024,sad,2,3,2,"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",3
1454,272.34,277.8637,Ses01M_script01_3_M025,sad,2,1.5,2,He just put it in my pocket that's the kind of guys I had.,3
1455,281.14,283.91,Ses01M_script01_3_M026,sad,2,1.5,1,"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",3
1456,288.18,291.03,Ses01M_script01_3_M027,sad,2,1.5,1.5,"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",3
1457,293.6392,307.49,Ses01M_script01_3_M028,sad,1.5,2,1.5,"You know, that they were bringing something on to this earth, a kind of sacrifice you know.",3
1458,307.7375,320.03,Ses01M_script01_3_M029,sad,1.5,2.5,1.5,"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",3
1459,320.1175,326.5,Ses01M_script01_3_M030,sad,1.5,2,2,You know.  I went to work with dad and I started that whole rat race again...,3
1460,327.37,337.86,Ses01M_script01_3_M031,sad,2,2.5,2.5,And no one had changed it was just like sort of random bus accident to them.,3
1461,339.871,363.73,Ses01M_script01_3_M032,sad,1.5,2,1,Driving my new car and I felt guilty you know opening my bank book seeing a new refrigerator.,3
1462,363.865,373.32,Ses01M_script01_3_M033,sad,1.5,2,2.5,'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,3
1463,374.5675,388.8175,Ses01M_script01_3_M034,sad,1.5,2.5,2,And if you can't see that then it's just loot and there's blood all over it.,3
1464,389.0888,397.095,Ses01M_script01_3_M035,sad,1.5,2.5,1,I felt ashamed and I didn't want any part of it.  I guess I included you too.,3
1465,397.3498,405.69,Ses01M_script01_3_M036,sad,1.5,3,1.5,Do you still feel that way?,3
1466,406.2,414.26,Ses01M_script01_3_M037,sad,1.5,3.5,2.5,I want you to know Annie.,3
1467,417.29,430.76,Ses01M_script01_3_M038,sad,1.5,2.5,1.5,"'Cause you mustn't feel that way.  Everything you have, you have a right to...",3
1468,431.0408,439.07,Ses01M_script01_3_M039,sad,1.5,3.5,2.5,Everything Chris do you understand that?  To me too...,3
1469,439.48,449.91,Ses01M_script01_3_M040,sad,1.5,2.5,2.5,And your money there's nothing wrong in your money.  Your father put hundreds of planes into the air.  You should be proud of that a man should be paid for that.,3
1470,460.4,463.85,Ses01M_script01_3_M041,sad,2,1.5,2,Annie...,3
1472,507.77,511.4612,Ses01M_script01_3_M043,hap,4,2.5,2.5,What would I do with a fortune?,4
1474,30.32,32.05,Ses01M_script02_1_F001,fru,1.5,3.5,3.5,"Of course I did want to a little further up the coast you know get away from all the lights and people and everything.  Is it midnight, do they always start at midnight?  Is that what it is midnight?  How you doing, huh? You okay?  That's good.",1
1478,70.69,75.38,Ses01M_script02_1_F005,ang,1.5,4,4,Ugh...,2
1480,101.33,102.61,Ses01M_script02_1_F007,neu,3,2,2.5,"Gosh, this is great, isn't it?  This is awesome.  Oh, no you know what I forgot?",0
1481,128.555,130.3,Ses01M_script02_1_F008,neu,3,2,2.5,My flashlight.  How could I forget my flashlight?  God--,0
1482,153.51,155.79,Ses01M_script02_1_F009,hap,3.5,3,2.5,What flashlight?,4
1483,161.6249,163.5475,Ses01M_script02_1_F010,fru,2.5,2.5,3,Flashlight the silver one.  There's only one isn't there?,1
1484,165.8,168.635,Ses01M_script02_1_F011,fru,2.5,3,3.5,That's not your flashlight.,1
1485,174.7,176.8514,Ses01M_script02_1_F012,fru,2,3,3.5,Whose is it?,1
1486,177.96,180.15,Ses01M_script02_1_F013,fru,2,3.5,4,"It's ours; it's my flashlight, too.",1
1487,182.11,184.41,Ses01M_script02_1_F014,ang,1.5,4,3,"Oh, well, yeah of course.",2
1490,215.1712,224.18,Ses01M_script02_1_F017,ang,2,4,4,"Gosh, I should have brought it. I can't believe I forgot that.",2
1491,237.74,248.4,Ses01M_script02_1_F018,fru,2,3,4,"It's a nice moon though, should stay full.  Do they always run during a full moon?  I can't remember was it full last year?",1
1492,248.99,251.1912,Ses01M_script02_1_F019,fru,2,3.5,3.5,Yeah.,1
1493,273.98,276.1435,Ses01M_script02_1_F020,fru,2,2.5,2.5,Are you all right?  Are you okay?  You cold?  Do you want to my jacket? My jacket? No?,1
1494,276.94,278.44,Ses01M_script02_1_F021,ang,2,3.5,4.5,No.,2
1495,304.42,318.4303,Ses01M_script02_1_F022,ang,1.5,3.5,4,"You know what we should've brought a blanket too.  Man, our blanket, our blanket.  Wish I had six-pack too, a six-pack would be just the ticket right about now, huh, six-pack.",2
1496,319.61,321.82,Ses01M_script02_1_F023,ang,2,2.5,3.5,What's wrong?  Are you okay?  Huh?  You cold?,2
1498,3.3988,8.55,Ses01M_script02_1_M000,exc,4,4,3.5,"Oh yeah, I'm so excited right now I'm like a kid.",5
1499,9.0475,21.05,Ses01M_script02_1_M001,exc,4.5,4.5,4,I can't believe I got out of the house without my fly zipped up even.,5
1500,21.1025,26.03,Ses01M_script02_1_M002,exc,4.5,5,4.5,I wonder if they can hear me talk,5
1502,31.79,41.7119,Ses01M_script02_1_M004,exc,3,4,3.5,Like feel the vibrations in the sand when we move around.,5
1503,41.8225,52.565,Ses01M_script02_1_M005,exc,4,4,3.5,I'm cold.,5
1505,59.45,63.6475,Ses01M_script02_1_M007,neu,2.5,3,3,"It's after eleven, let's go home.",0
1507,69.41,71.28,Ses01M_script02_1_M009,neu,3,3,2.5,There is no point.,0
1508,74.89,81.73,Ses01M_script02_1_M010,neu,3,3.5,3,Right.,0
1509,82.2739,87.475,Ses01M_script02_1_M011,neu,2.5,3.5,3,That's my point.,0
1512,107.27,124.69,Ses01M_script02_1_M014,exc,3,4.5,3,"No, wait no, no that's not my point.  My point is there is no point and coming all the way down here if we just turn around and go home.",5
1514,134.91,138.43,Ses01M_script02_1_M016,exc,4,3.5,4,Not particularly.,5
1515,138.49,142.91,Ses01M_script02_1_M017,exc,4.5,4,3.5,Why not?,5
1518,163.6278,166.51,Ses01M_script02_1_M020,fru,2.5,3.5,4,People in Kansas would have to get plane tickets and make hotel reservations to see this.  It's only forty minutes away; it's just too good to pass up.,1
1519,168.02,175.22,Ses01M_script02_1_M021,fru,2,3.5,3,"Pass what up?  These little fish swim out of the ocean, they flop around on the sand then they swim back and then they die.",1
1520,176.49,178.1775,Ses01M_script02_1_M022,neu,3,3.5,3,Yeah but that like flopping around is what to do it's like spawning or mating or something.  This is like the highlight of their little fish lives.  It's like life's last orgy.,0
1521,179.8,182.6525,Ses01M_script02_1_M023,neu,3,3.5,2.5,"I don't know what you're so excited about.  This isn't a moon landing we're talking about, it's fish, it's a fish nobody even eats.",0
1522,183.82,191.96,Ses01M_script02_1_M024,fru,3,4,4,"Yeah, they do.",1
1524,195.3,197.14,Ses01M_script02_1_M026,fru,2,2.5,2.5,"Well, okay whatever, okay but it's a fish who do something that like no other fish do, you know, it's like those swallows that return to Capistrano or those like those lemmings that jumped off the cliffs, you know.",1
1525,200.4,205.8,Ses01M_script02_1_M027,fru,2.5,3.5,3,"It's like a little bit of the unexplainable, a little magic, a little mystery.  I just don't see how you can not be interested in this.",1
1526,205.8575,215.6599,Ses01M_script02_1_M028,ang,2.5,4,3.5,I'm not.,2
1528,247.92,249.52,Ses01M_script02_1_M030,neu,2.5,3.5,2.5,Yes.,0
1529,250.59,266.32,Ses01M_script02_1_M031,exc,3,3.5,3.5,All right.,5
1530,266.4,274.4825,Ses01M_script02_1_M032,exc,2.5,3.5,4,"I don't get it though, I mean the first time we came here you said it was like the best night of your life...",5
1532,279.69,282.81,Ses01M_script02_1_M034,fru,3,2,2.5,"Last year, you'll also remember we got--our shoes got wet, I got sand in my panties, you got a sore throat, we got into a big fight and we did not see the grunions.",1
